Ts (degC),I (a.u.),x3,x4,x5,P (W),q (slm)
32.77,1549008.41898496,0,0,0,0,0
32.9,1365611.9243233,0,0,0,0,0
32.15,1352694.01497181,0,0,0,0,0
31.73,1393313.51954887,0,0,0,0,0
31.44,1391719.49154135,0,0,0,0,0
31.34,1384856.42489661,0,0,0,0,0
31.27,1353545.84678571,0,0,0,0,0
31.18,1373223.71602443,0,0,0,0,0
31.05,1389705.64533834,0,0,0,0,0
31.08,1386007.84528195,0,0,0,0,0
30.96,1405806.80644737,0,0,0,0,0
30.73,1407827.30469925,0,0,0,0,0
30.66,1362861.91804512,0,0,0,0,0
30.69,1384527.27166354,0,0,0,0,0
30.65,1389847.43252819,0,0,0,0,0
30.6,1396492.09023497,0,0,0,0,0
30.54,1390757.16180452,0,0,0,0,0
30.53,1385972.73724625,0,0,0,0,0
30.54,1358432.39261278,0,0,0,0,0
30.42,1386555.40745301,0,0,0,0,0
30.48,1343817.59486842,0,0,0,0,0
30.41,1328755.75480264,0,0,0,0,0
30.4,1383838.66141917,0,0,0,0,0
30.28,1382800.94179512,0,0,0,0,0
30.23,1358673.71416354,0,0,0,0,0
30.18,1364417.75836467,0,0,0,0,0
30.15,1377166.04046992,0,0,0,0,0
30.07,1376884.68343985,0,0,0,0,0
30.18,1380272.17773496,0,0,0,0,0
30.03,1355784.13804512,0,0,0,0,0
30.06,1377774.45656955,0,0,0,0,0
30.04,1375830.45687971,0,0,0,0,0
29.93,1379020.60705827,0,0,0,0,0
29.95,1382425.22421992,0,0,0,0,0
29.9,1392566.51909774,0,0,0,0,0
29.83,1368502.97867482,0,0,0,0,0
29.76,1377764.84805451,0,0,0,0,0
29.76,1391837.25744361,0,0,0,0,0
29.64,1376906.61056391,0,0,0,0,0
29.67,1374157.95933271,0,0,0,0,0
29.77,1369223.61730263,0,0,0,0,0
29.79,1370253.94576128,0,0,0,0,0
29.66,1394900.52594925,0,0,0,0,0
29.69,1417291.07608083,0,0,0,0,0
29.64,1393627.15133459,0,0,0,0,0
29.64,1369425.02656015,0,0,0,0,0
29.61,1404055.34661654,0,0,0,0,0
29.79,1424203.78671992,0,0,0,0,0
29.7,1376260.37633458,0,0,0,0,0
29.68,1344323.02739662,0,0,0,0,0
29.79,1385580.1431767,0,0,0,0,0
29.65,1398025.14112782,0,0,0,0,0
29.59,1389731.14485902,0,0,0,0,0
29.62,1420304.20784775,0,0,0,0,0
29.71,1350488.98395676,0,0,0,0,0
30,1374555.23447369,0,0,0,0,0
30.02,1380858.29715226,0,0,0,0,0
29.98,1375588.39621241,0,0,0,0,0
29.87,1366756.56947369,0,0,0,0,0
29.79,1395952.04241542,0,0,0,0,0
29.8,1389529.11967105,2.5,5,2.5,2.5,5
29.8,1999057.22013158,2.5,5,2.5,2.5,5
33.76,2404254.82812972,2.5,5,2.5,2.5,5
34.23,2322280.76757517,2.5,5,2.5,2.5,5
34.44,2282821.552782,2.5,5,2.5,2.5,5
35.35,2276385.32593981,2.5,5,2.5,2.5,5
35.83,2305364.36092105,2.5,5,2.5,2.5,5
36.16,2298110.30162597,2.5,5,2.5,2.5,5
36.78,2239071.88965229,2.5,5,2.5,2.5,5
37.25,2261444.33142859,2.5,5,2.5,2.5,5
37.68,2248731.15735902,2.5,5,2.5,2.5,5
37.92,2283549.8289474,2.5,5,2.5,2.5,5
38.03,2255305.4758083,2.5,5,2.5,2.5,5
38.28,2279180.29514094,2.5,5,2.5,2.5,5
38.73,2283402.00563913,2.5,5,2.5,2.5,5
38.75,2325971.17646613,2.5,5,2.5,2.5,5
38.95,2270214.07237778,2.5,5,2.5,2.5,5
39.44,2256103.59848687,2.5,5,2.5,2.5,5
39.66,2253815.41686088,2.5,5,2.5,2.5,5
39.81,2239988.76372177,2.5,5,2.5,2.5,5
39.93,2269440.0941729,2.5,5,2.5,2.5,5
40.13,2266166.30063914,2.5,5,2.5,2.5,5
40.35,2309442.19006578,2.5,5,2.5,2.5,5
40.42,2252179.01283831,2.5,5,2.5,2.5,5
40.65,2287830.54558267,2.5,5,2.5,2.5,5
40.78,2312556.95035718,2.5,5,2.5,2.5,5
41.01,2315726.6516447,2.5,5,2.5,2.5,5
41.05,2275181.05872176,2.5,5,2.5,2.5,5
41.23,2304637.43980262,2.5,5,2.5,2.5,5
41.33,2246719.28213346,2.5,5,2.5,2.5,5
41.46,2264534.70087404,2.5,5,2.5,2.5,5
41.71,2260912.41389094,2.5,5,2.5,2.5,5
41.86,2308149.22886281,2.5,5,2.5,2.5,5
41.96,2247278.79335524,2.5,5,2.5,2.5,5
42.1,2239275.8858177,2.5,5,2.5,2.5,5
42.06,2272070.48675749,2.5,5,2.5,2.5,5
42.15,2295284.28953006,2.5,5,2.5,2.5,5
42.35,2294158.61503758,2.5,5,2.5,2.5,5
42.53,2302161.64576125,2.5,5,2.5,2.5,5
42.5,2236355.0204323,2.5,5,2.5,2.5,5
42.49,2293059.30236839,2.5,5,2.5,2.5,5
42.62,2299001.30661657,2.5,5,2.5,2.5,5
42.7,2208758.62612779,2.5,5,2.5,2.5,5
42.77,2279845.50002822,2.5,5,2.5,2.5,5
42.98,2273600.21162598,2.5,5,2.5,2.5,5
43.06,2254359.65300748,2.5,5,2.5,2.5,5
43.16,2289942.07835523,2.5,5,2.5,2.5,5
43.27,2249100.09969921,2.5,5,2.5,2.5,5
43.31,2236394.19360903,2.5,5,2.5,2.5,5
43.38,2246481.16342107,2.5,5,2.5,2.5,5
43.51,2269323.1905733,2.5,5,2.5,2.5,5
43.58,2276886.32376883,2.5,5,2.5,2.5,5
43.58,2283573.72704888,2.5,5,2.5,2.5,5
43.53,2289013.1320489,2.5,5,2.5,2.5,5
43.49,2257194.41131575,2.5,5,2.5,2.5,5
43.56,2282592.79621237,2.5,5,2.5,2.5,5
43.58,2245929.53610904,2.5,5,2.5,2.5,5
43.74,2292516.54445489,2.5,5,2.5,2.5,5
43.9,2269427.40600567,2.5,5,2.5,2.5,5
43.89,2243240.87650373,2.5,5,2.5,2.5,5
43.83,2244366.6741823,2.5,5,2.5,2.5,5
44.01,2281880.04149433,2.5,5,2.5,2.5,5
43.96,2310037.42525376,2.5,5,2.5,2.5,5
43.95,2252259.94609967,2.5,5,2.5,2.5,5
44.02,2296690.70512218,2.5,5,2.5,2.5,5
44.05,2273796.44706771,2.5,5,2.5,2.5,5
44.08,2288997.2410432,2.5,5,2.5,2.5,5
44.2,2268222.76922933,2.5,5,2.5,2.5,5
44.32,2247688.7566635,2.5,5,2.5,2.5,5
44.3,2266222.35031012,2.5,5,2.5,2.5,5
44.3,2294919.90507519,2.5,5,2.5,2.5,5
44.34,2289654.31564853,2.5,5,2.5,2.5,5
44.29,2306925.49824249,2.5,5,2.5,2.5,5
44.24,2265673.80265033,2.5,5,2.5,2.5,5
44.29,2254027.66649432,2.5,5,2.5,2.5,5
44.34,2277840.15366545,2.5,5,2.5,2.5,5
44.33,2274866.6878195,2.5,5,2.5,2.5,5
44.4,2292703.66412597,2.5,5,2.5,2.5,5
44.36,2247235.18547934,2.5,5,2.5,2.5,5
44.45,2248278.32529139,2.5,5,2.5,2.5,5
44.48,2227502.00568605,2.5,5,2.5,2.5,5
44.56,2290183.15353379,2.5,5,2.5,2.5,5
44.53,2285621.69579888,2.5,5,2.5,2.5,5
44.51,2262710.43806393,2.5,5,2.5,2.5,5
44.52,2291196.85187032,2.5,5,2.5,2.5,5
44.58,2278779.69397553,2.5,5,2.5,2.5,5
44.65,2269771.58794174,2.5,5,2.5,2.5,5
44.63,2256878.68536658,2.5,5,2.5,2.5,5
44.72,2302691.59232146,2.5,5,2.5,2.5,5
44.71,2293544.53237779,2.5,5,2.5,2.5,5
44.76,2271744.04361839,2.5,5,2.5,2.5,5
44.76,2292869.47260342,2.5,5,2.5,2.5,5
44.81,2250316.68552631,2.5,5,2.5,2.5,5
44.84,2259503.16501884,2.5,5,2.5,2.5,5
44.98,2270153.83437973,2.5,5,2.5,2.5,5
45.09,2262049.42150374,2.5,5,2.5,2.5,5
44.91,2254590.25736839,2.5,5,2.5,2.5,5
44.85,2265536.32697372,2.5,5,2.5,2.5,5
44.85,2280381.11314852,2.5,5,2.5,2.5,5
44.85,2275015.98936089,2.5,5,2.5,2.5,5
44.86,2246631.45045115,2.5,5,2.5,2.5,5
44.97,2293958.19126883,2.5,5,2.5,2.5,5
44.93,2264793.8844079,2.5,5,2.5,2.5,5
44.99,2291389.14535717,2.5,5,2.5,2.5,5
44.97,2279172.90397554,2.5,5,2.5,2.5,5
44.98,2284754.21935147,2.5,5,2.5,2.5,5
44.92,2295841.70658834,2.5,5,2.5,2.5,5
45.01,2286366.72527258,2.5,5,2.5,2.5,5
45.05,2292991.91957708,2.5,5,2.5,2.5,5
44.94,2275094.33571431,2.5,5,2.5,2.5,5
44.97,2277808.24846803,2.5,5,2.5,2.5,5
44.93,2291352.68227441,2.5,5,2.5,2.5,5
44.94,2312982.5582989,2.5,5,2.5,2.5,5
45.02,2259308.40781014,2.5,5,2.5,2.5,5
45.04,2298764.78932329,2.5,5,2.5,2.5,5
45.14,2283471.35940791,2.5,5,2.5,2.5,5
45.1,2236871.29333649,2.5,5,2.5,2.5,5
45.09,2285128.58187973,2.5,5,2.5,2.5,5
45.14,2292372.2935432,2.5,5,2.5,2.5,5
45.19,2269905.24484964,2.5,5,2.5,2.5,5
45.14,2283595.6541729,2.5,5,2.5,2.5,5
45.06,2254930.74372176,2.5,5,2.5,2.5,5
45.23,2266629.60352443,2.5,5,2.5,2.5,5
45.16,2280950.84881576,2.5,5,2.5,2.5,5
45.29,2241287.88422933,2.5,5,2.5,2.5,5
45.33,2294310.50348688,2.5,5,2.5,2.5,5
45.34,2282855.05939851,2.5,5,2.5,2.5,5
45.34,2230352.16225566,2.5,5,2.5,2.5,5
45.34,2265029.0466541,2.5,5,2.5,2.5,5
45.64,2269992.46060147,2.5,5,2.5,2.5,5
45.89,2318535.41768801,2.5,5,2.5,2.5,5
46.05,2282941.53603379,2.5,5,2.5,2.5,5
46.21,2311611.86667292,2.5,5,2.5,2.5,5
46.36,2245825.44386282,2.5,5,2.5,2.5,5
46.24,2269105.76712403,2.5,5,2.5,2.5,5
46.27,2307417.9962312,2.5,5,2.5,2.5,5
46.28,2265431.61879698,2.5,5,2.5,2.5,5
46.22,2288930.10462405,2.5,5,2.5,2.5,5
46.36,2275719.99786658,2.5,5,2.5,2.5,5
46.36,2265544.82681394,2.5,5,2.5,2.5,5
46.34,2282758.23513154,2.5,5,2.5,2.5,5
46.26,2287331.39554516,2.5,5,2.5,2.5,5
46.2,2276037.94116544,2.5,5,2.5,2.5,5
46.39,2242205.25104319,2.5,5,2.5,2.5,5
46.39,2274234.00406014,2.5,5,2.5,2.5,5
46.33,2263396.33821431,2.5,5,2.5,2.5,5
46.33,2272271.2800846,2.5,5,2.5,2.5,5
46.43,2263248.14534774,2.5,5,2.5,2.5,5
46.42,2257937.46981203,2.5,5,2.5,2.5,5
46.42,2285381.4829229,2.5,5,2.5,2.5,5
46.41,2287696.88867485,2.5,5,2.5,2.5,5
46.43,2264096.15839288,2.5,5,2.5,2.5,5
46.41,2272791.49494362,2.5,5,2.5,2.5,5
